question,answer
Czy możliwe jest prefinansowanie inwestycji?,Prefinansowanie do 35% kosztów jest możliwe tylko za pośrednictwem operatora i jest dostępne w najwyższym i podwyższonym poziomie dofinansowania.
Czy w okresie przejściowym będą obowiązywać jakieś specjalne zasady?,"Od 31.03.2025 r. przez cztery miesiące można uzyskać dotację na koszty kwalifikowane poniesione od 28.05.2024 r., przy czym wnioski te muszą być zgodne z nowym programem (przewidziano kilka odstępstw od nowych zasad)."
Czy można dostać dofinansowanie na kocioł gazowy?,"Nie, kotły gazowe nie są kosztem kwalifikowanym w nowej wersji programu. Dla osób, które dokonały takiej inwestycji w 2024 r. i nie zdążyły złożyć wniosku przewidziano odrębny nabór."
Jakie koszty kwalifikowane można pokryć z dotacji?,"Dotację możesz dostać na wymianę źródła ciepła i termomodernizację, w tym na: Wymianę kopciucha, czyli nieefektywnego źródła ciepła na paliwo stałe na nowy efektywny i ekologiczne źródło ciepła , Modernizację instalacji grzewczej, Ocieplenie budynku, Wymianę okien i drzwi, Zakup rekuperacji, czyli wentylacji mechanicznej z odzyskiem ciepła, Audyt energetyczny, Świadectwo charakterystyki energetycznej. Katalog kosztów kwalifikowanych znajduje się w załączniku nr 2 do programu."
Jak określa się datę rozpoczęcia przedsięwzięcia?,"Rozpoczęcie przedsięwzięcia oznacza poniesienie pierwszego kosztu kwalifikowanego, czyli datę wystawienia pierwszej faktury lub innego dokumentu księgowego. Może to nastąpić nie wcześniej niż sześć miesięcy przed datą złożenia wniosku o dofinansowanie. Wyjątkiem są wnioski składane w ciągu czterech miesięcy od daty ogłoszenia naboru – dla nich rozpoczęcie przedsięwzięcia mogło nastąpić od 28.05.2024 r."
Kiedy przedsięwzięcie uznaje się za zakończone?,Przedsięwzięcie jest zakończone w dniu wystawienia ostatniej faktury lub innego dokumentu potwierdzającego wykonanie prac. Oznacza to rzeczowe zakończenie wszystkich działań objętych umową o dofinansowanie i umożliwia prawidłową eksploatację zamontowanych urządzeń.
Jaki jest maksymalny czas realizacji przedsięwzięcia?,Dla dotacji oraz dotacji z prefinansowaniem: do 24 miesięcy od daty złożenia wniosku.
Czy działalność gospodarcza prowadzona w budynku wpływa na możliwość uzyskania dofinansowania?,"W przypadku, gdy w budynku/lokalu mieszkalnym, w którym realizowane jest przedsięwzięcie, prowadzona jest działalność gospodarcza rozumiana zgodnie z unijnym prawem konkurencji , wysokość dofinansowania jest pomniejszana proporcjonalnie do powierzchni wykorzystywanej do prowadzenia działalności gospodarczej. W przypadku gdy działalność gospodarcza jest prowadzona na powierzchni przekraczającej 30% powierzchni całkowitej budynku/lokalu mieszkalnego, przedsięwzięcie nie kwalifikuje się do dofinansowania (nawet jeżeli działalność gospodarcza ma charakter sezonowy)."
Jakie są obowiązki wnioskodawcy?,"Aby otrzymać dotację, wnioskodawca musi: wykonać audyt energetyczny przed rozpoczęciem inwestycji a wraz z nim dokument podsumowujący audyt energetyczny i ten dokument dołączyć do wniosku o dofinansowanie, po zakończeniu przedsięwzięcia przedstawić świadectwo charakterystyki energetycznej, które potwierdzi spełnienie wymogów programu, wykonać cały zakres prac wskazany w dokumencie podsumowującym audyt, trzeba pamiętać, że po realizacji inwestycji w budynku nie może być użytkowane źródło ciepła niższej klasy niż 5."
Czy można łączyć dofinansowanie z innymi programami?,"Tak, ale tylko jeśli dotyczą innego zakresu inwestycji: program „Mój Prąd” – można uzyskać dofinansowanie na inne elementy modernizacji niż te sfinansowane z Czystego Powietrza, program „Stop Smog” – podobnie jak wyżej, dofinansowanie dotyczy innego zakresu inwestycji, inne środki publiczne – można korzystać z dodatkowych dotacji, ale łączna wartość dofinansowania nie może przekroczyć 100% kosztów kwalifikowanych."
Kiedy dotacja nie zostanie przyznana/ dofinansowanie nie zostanie wypłacone?,jeśli budynek/lokal mieszkalny jest wykorzystywany sezonowo lub jest budynkiem gospodarczym; jeśli wnioskodawca sprzedał nieruchomość przed zakończeniem wypłat dotacji; jeśli wnioskodawca jest beneficjentem programu w związku z realizacją przedsięwzięcia w innym budynku/lokalu mieszkalnym na podstawie WOD złożonego w naborze od 22.04.2024 r. jeśli powierzchnia wykorzystywana na działalność gospodarczą przekracza 30% całkowitej powierzchni budynku; jeśli budynek powstał po 31.12.2020 r. i jego budowa została zgłoszona po tej dacie.
Czy mogę sprzedać nieruchomość w trakcie realizacji przedsięwzięcia?,"Nie, jeśli sprzedaż nastąpi przed wypłatą całości dotacji, dofinansowanie nie zostanie wypłacone."
"Czy mogę korzystać z dofinansowania, jeśli budynek jest używany tylko sezonowo?","Nie, dofinansowanie przysługuje tylko na budynki/lokale mieszkalne użytkowane całorocznie."
"Czy mogę ubiegać się o dotację, jeśli w budynku/lokalu mieszkalnym są już nowoczesne źródła ciepła?","Tak, ale tylko na inne prace termomodernizacyjne, np. ocieplenie budynku, wymianę okien i drzwi, montaż wentylacji mechanicznej z odzyskiem ciepła."
"Czy mogę wymienić stare źródło ciepła na nowe, ale pozostawić je jako dodatkowe ogrzewanie?","Nie, wymieniane źródło ciepła musi być trwale wyłączone z użytku i potwierdzone odpowiednim dokumentem (np. karta zezłomowania, protokół kominiarski)."
Czy mogę dowolnie zmieniać przeznaczenie budynku po zakończeniu przedsięwzięcia?,"Nie, przez 5 lat od zakończenia inwestycji budynek/lokal musi pozostać obiektem mieszkalnym. W tym czasie nie można demontować urządzeń objętych dotacją ani instalować nowych źródeł ciepła niespełniających wymagań programu."
Jakie dokumenty trzeba złożyć wraz z wnioskiem?,Niezbędne dokumenty to m.in. dokument podsumowujący audyt energetyczny i zaświadczenie o dochodach..
Jak długo trwa rozpatrywanie wniosku o dofinansowanie?,Czas rozpatrzenia wniosku o dofinasowanie jest instruktażowy i powinien wynosić do 60 dni.
Jak długo trwa rozpatrywanie wniosku o płatność?,Czas rozpatrzenia wniosku o płatność to 60 dni.
Czy dofinansowanie obejmuje koszty projektowe?,"Tak, audyt energetyczny i dokumentacja są kwalifikowane. Szczegóły na ten temat dostępne są w dokumentacji programowej."
Czy beneficjent może sam wybrać wykonawcę?,"Tak, ale wykonawca musi spełniać standardy programu."
Czy trzeba rozliczać się z dofinansowania?,"Tak, wymagane są dokumenty potwierdzające realizację inwestycji."
Czy można otrzymać dofinansowanie na wymianę samego źródła ciepła?,"Tak, ale inwestycja musi spełniać wymagania efektywności energetycznej."
Czy możliwa jest zmiana wniosku po jego złożeniu?,"Tak, ale zmiany muszą być uzasadnione i zaakceptowane przez WFOŚiGW."
Jakie zmiany wprowadzono w dotacjach jednostkowych?,"Przywrócono dotacje jednostkowe dla ocieplenia przegród, stolarki okiennej i drzwiowej oraz bram garażowych."
"Na liście ZUM od początku 2025 r. nie ma już pomp ciepła z certyfikatami, dla których nie zostały wykonane wymagane w programie badania. Co w sytuacji, gdy ktoś jeszcze w 2024 r. kupił i zamontował pompę ciepła, która wówczas była na liście a obecnie już jej nie ma?","Beneficjent otrzyma zwrot pieniędzy za ich zakup, jeżeli rachunek był wystawiony przed 31 grudnia 2024 r."
Jak wygląda kwestia ścieżki bankowej w nowym Czystym Powietrzu?,Od 31.03.2025 r. przez cztery miesiące można uzyskać dotację na koszty kwalifikowane poniesione od Od 31 marca 2025 r. nie będą dostępne Kredyty Czyste Powietrze na dotychczasowych zasadach. Pracujemy z bankami nad uruchomieniem ścieżki bankowej na nowych zasadach współpracy.
Jak wygląda sytuacja kominków w nowej odsłonie programu?,"Nowe Czyste Powietrze dopuszcza pozostawienie kominków wykorzystywanych na cele rekreacyjne, czyli bez rozprowadzenia ciepła. Trwałe ich wyłączenie musi być potwierdzone odpowiednim protokołem kominiarskim wydanym przez mistrza kominiarskiego. Kominek musi spełniać wymogi ekoprojektu oraz docelowe wymogi uchwał antysmogowych obowiązujących na danym terenie."
Gdzie można uzyskać więcej informacji o programie?,"Na stronach internetowych: NFOŚiGW (czystepowietrze.gov.pl/,) oraz wszystkich WFOŚiGW, a także w gminnych punktach konsultacyjno‐informacyjnych."
Kto i kiedy ma podpisać audyt i DPAE?,"Audyt energetyczny jak i DPAE muszą być podpisane przez osobę z uprawnieniami do wykonywania świadectw charakterystyki energetycznej. W okresie przejściowym, czyli przez cztery miesiące od 31 marca 2025 r. – dopuszczamy audyt energetyczny bez podpisu osoby z uprawnieniami. Natomiast DPAE musi być zawsze podpisany przez osobę z uprawnieniami do wykonywania świadectw charakterystyki energetycznej."
Czy audyt energetyczny stanowi obowiązkowy załącznik wraz z DPAE do WOD?,Audyt energetyczny nie jest załącznikiem do wniosku. Obowiązkowym załącznikiem do WOD jest Dokument podsumowujący audyt energetyczny (DPAE). Beneficjent (inwestor) ma obowiązek przechowywać pełny audyt energetyczny przez cały okres realizacji przedsięwzięcia oraz 5 lat po jego zakończeniu (okres trwałości) i przedstawić go na prośbę WFOŚiGW lub w trakcie kontroli.
"Czy energia użytkowa do ogrzewania i wentylacji to ta sama energia, co wskaźnik rocznego zapotrzebowania na ciepło do ogrzewania budynku (bez uwzględnienia sprawności systemu grzewczego i przerw w ogrzewaniu)? Jak obliczyć/ sprawdzić pozostałe energie, tj. końcową, pierwotną. I dlaczego wciąż w DPAE jest mowa nie o audycie energetycznym, a o ocenie energetycznej?","W DPAE znajdują się informacje: które pochodzą zarówno z audytu energetycznego – informacje o stanie technicznym budynku oraz zakresie przedsięwzięcia (wykaz i opis wszystkich koniecznych do realizacji prac), jak również wartości wskaźników rocznego zapotrzebowania na energię użytkową, końcową i pierwotną – wyliczane zgodnie z metodyką wykonywania świadectw charakterystyki energetycznej."
"Co w przypadku, gdy wartości zawarte w audycie energetycznym i DPAE dotyczące energii użytkowej, końcowej, pierwotnej  po termomodernizacji będą różniły się od tych zawartych w świadectwie charakterystyki energetycznej? Czy wartości „po” z audytu energetycznego i świadectwa charakterystyki energetycznej mają być zbieżne?","Wartości wskazane w świadectwie charakterystyki energetycznej budynku nie muszą być dokładnie takie same jak planowane na etapie DPAE . Muszą natomiast potwierdzać osiągnięcie wymaganych wskaźników wynikających ze realizowanego rodzaju przedsięwzięcia. Jeżeli będzie występowała różnica wartości budząca wątpliwości należy szczegółowo potwierdzić, czy cały zakres przedsięwzięcia został zrealizowany zgodnie ze wskazanym w audycie energetycznym i DPAE . Jeżeli wymagane wskaźniki nie zostaną osiągnięte konieczny może być zwrot dotacji."
"Jaki współczynnik nakładu nieodnawialnej energii pierwotnej powinien być przyjmowany do wyliczeń jeżeli przed realizacją przedsięwzięcia w budynku znajduje się nieefektywne źródło ciepła na paliwo stałe, czyli tzw. kopciuch, w którym spalano różnego rodzaju paliwa?","Rekomendujemy, aby w takich sytuacjach wykorzystywać współczynnik nakładu nieodnawialnej energii pierwotnej  dla węgla – tak, aby przyjmować najbardziej nieefektywne paliwo, wykorzystywane do wytwarzania ciepła."
"W programie są progi energii użytkowej poniżej 80, w zakresie 80-140, powyżej 140 kWh/(m2*rok) – czy te progi odnoszą się do wyliczeń zgodnie z metodyką sporządzania audytu czy świadectwa energetycznego?","Wartości wskaźników zapotrzebowania na energię do ogrzewania podane we wskazanych w pytaniu, powinny zostać wyliczone zgodnie z metodyką wykonywania świadectw charakterystyki energetycznej – nie pochodzą z karty audytu energetycznego. DPAE powinno być wykonywane zgodnie z Instrukcją wypełniania i składania DPAE oraz z informacjami zawartymi w samym formularzu."
"W zeszłym roku zrealizowałam przedsięwzięcie, które mogłoby być dofinansowane w ramach programu Czyste Powietrze, ale nie robiłam audytu energetycznego – czy mogę wnioskować o dotację?","Podstawą uzyskania dofinansowania w ramach programu jest wykonanie audytu energetycznego (i Dokumentu podsumowującego audyt energetyczny na obowiązującym w ramach programu wzorze), który potwierdzi standard energetyczny budynku przed realizacją przedsięwzięcia i po jego realizacji. Audyt wskazuje także optymalny zakres prac do wykonania – w odróżnieniu od świadectwa charakterystyki energetycznej – nie pokazuje tylko aktualnego standardu budynku. Zawsze należy wykonać wszystkie działania zgodnie z audytem energetycznym. Prace, które już zostały wykonane mogą stać się kosztem kwalifikowanym w ramach programu, tylko jeśli audyt potwierdzi zasadność ich realizacji – działania te muszą być wymienione w audycie i DPAE."
Czy obowiązkowe jest wykorzystywanie wzoru umowy z audytorem? Czy ta umowa powinna być załączona do WOD?,"Wzór umowy z wykonawcą na realizację audytu energetycznego jest proponowany i rekomendowany do wykorzystywania – wzór ten nie jest obowiązkowy. Przygotowany wzór umowy ma na celu uregulowanie współpracy stron, a w szczególności zabezpieczenie interesów wnioskodawcy. Do WOD należy załączać tylko te umowy z wykonawcami, które dotyczą dotacji z prefinansowaniem – nie ma obowiązku załączania umowy na wykonanie audytu energetycznego do wniosku o dofinansowanie (jeżeli audyt energetyczny jest wykonywany poza prefinansowaniem)."
